Station Name,Latitude,Longitude,Bikes Available
Hess at king,43.259125842121065,-79.87721175,8
Bayfront Park,43.269288276229105,-79.87132698,9
Bay at Strachan,43.26785864558976,-79.86792326,9
Bay at Mulberry,43.263198441574474,-79.87180308,4
City Hall,43.25613249,-79.87449876,2
Bay at Bold,43.25383023,-79.87539356,6
James S at Charlton,43.24963545,-79.87205557,4
Oxford at York,43.26456372689135,-79.87779379,6
Queen at Peter,43.26188613,-79.87760601,4
West at Cannon,43.25787786,-79.85613376,3
Forsyth at Sterling,43.26271404114188,-79.91580606,3
King George,43.25112644429895,-79.82740849,2
H.A.A.A. Park,43.25406516,-79.8819466,3
Hunter at Hess,43.255383107655966,-79.87889618,5
Dunsmure at Sherman - ERI10,43.24943274108067,-79.83888835,3
King at Dunsmure - ERI09,43.24634382646498,-79.82685998,5
Locke at Napier,43.26280188,-79.88273673,6
York at Inchbury,43.26591461,-79.88194959,5
Aberdeen at Queen,43.24880856,-79.8836994,7
King at Dundurn,43.26240933566922,-79.88798082,7
Main at Dundurn,43.25966301112219,-79.88920927,5
Dundurn St S,43.25481276,-79.89090677,2
McMaster Mary Keyes,43.262460120020584,-79.92224671,13
McMaster Health Sciences,43.26053126154136,-79.91824821,11
McMaster Arthur Bourns,43.259969,-79.92235867,1
McMaster Emerson,43.258038792898375,-79.91978779,6
Longwood at Edgevale,43.26621122,-79.89930945,14
Longwood at King,43.26301746,-79.90094184,7
Chedoke Stairs,43.24608026,-79.9082378,3
McMaster Innovation Park,43.25656885270854,-79.90116924,3
Macklin at King,43.26216728,-79.8964982,10
Dundurn at Aberdeen,43.251458458948996,-79.89265591,12
Dundurn Stairs,43.24652141,-79.89477876,6
Cootes Drive Dundas,43.26547419149645,-79.94765997,0
Princess Point,43.27299129,-79.89452704,5
Pearl Street Bridge,43.25650634283747,-79.88345325,5
Rail Trail at Emerson,43.25467459,-79.92080282,9
Westdale Library,43.262715994377196,-79.90359664,7
Emerson at Whitney,43.25214232,-79.92221582,18
Sterling at Whitton,43.26222716,-79.91336588,11
Sterling at Haddon,43.26202552179778,-79.91026729,4
Sanders at Hollywood,43.25990317,-79.92648109,7
King at Cline,43.26053678,-79.90929484,7
Rail Trail at Stroud,43.25359164,-79.91661528,5
Main at Columbia College,43.25856718,-79.90785867,9
King Street Dundas,43.26595632543361,-79.95375395,1
Park at Robinson,43.25159577,-79.87490909,4
Main at Dalewood,43.25802547698811,-79.91383865,9
John at Main,43.254529435061336,-79.86718029,2
Stadium,43.25161474646046,-79.83134329,2
Osler at Main,43.25725394,-79.93422554,6
Main at Whitney,43.25205234935895,-79.93979037,7
Osler at Grant,43.25954961,-79.94264344,5
270 Sherman,43.26044140942891,-79.83437285,1
Sanders at Binkley,43.25875372772543,-79.92979914,1
Whitney at Lower Horning,43.25185224,-79.93541989,5
James North at Mulberry,43.26181945279216,-79.86674309,3
Frid at Main,43.25940517059312,-79.89262372,1
Gore Park,43.256316859398744,-79.86866355,6
Stinson at West,43.24949856,-79.85972611,6
